Security,EURUSD BGN Curncy
Start Date,10/04/2020 00:00
End Date,04/04/2025 00:00
Period,W
Pricing Source,BGN
,
Date,PX_LAST
04/03/2022,1.0928
25/02/2022,1.1268
18/02/2022,1.1322
11/02/2022,1.135
04/02/2022,1.1449
28/01/2022,1.1151
21/01/2022,1.1344
14/01/2022,1.1411
07/01/2022,1.136
31/12/2021,1.137
24/12/2021,1.1319
17/12/2021,1.124
10/12/2021,1.1313
03/12/2021,1.1315
26/11/2021,1.1317
19/11/2021,1.129
12/11/2021,1.1445
05/11/2021,1.1567
29/10/2021,1.1558
22/10/2021,1.1643
15/10/2021,1.1601
08/10/2021,1.1569
01/10/2021,1.1596
24/09/2021,1.172
17/09/2021,1.1725
10/09/2021,1.1814
03/09/2021,1.188
27/08/2021,1.1795
20/08/2021,1.1698
13/08/2021,1.1797
06/08/2021,1.1762
30/07/2021,1.187
23/07/2021,1.1771
16/07/2021,1.1806
09/07/2021,1.1876
02/07/2021,1.1865
25/06/2021,1.1935
18/06/2021,1.1864
11/06/2021,1.2109
04/06/2021,1.2167
28/05/2021,1.2192
21/05/2021,1.2182
14/05/2021,1.2141
07/05/2021,1.2166
30/04/2021,1.202
23/04/2021,1.2097
16/04/2021,1.1983
09/04/2021,1.1899
02/04/2021,1.1759
26/03/2021,1.1794
19/03/2021,1.1904
12/03/2021,1.1953
05/03/2021,1.1915
26/02/2021,1.2075
19/02/2021,1.2119
12/02/2021,1.212
05/02/2021,1.2046
29/01/2021,1.2136
22/01/2021,1.2171
15/01/2021,1.2082
08/01/2021,1.2218
01/01/2021,1.2215
25/12/2020,1.2193
18/12/2020,1.2257
11/12/2020,1.2112
04/12/2020,1.2121
27/11/2020,1.1963
20/11/2020,1.1857
13/11/2020,1.1834
06/11/2020,1.1874
30/10/2020,1.1647
23/10/2020,1.186
16/10/2020,1.1718
09/10/2020,1.1826
02/10/2020,1.1716
25/09/2020,1.1631
18/09/2020,1.184
11/09/2020,1.1846
04/09/2020,1.1838
28/08/2020,1.1903
21/08/2020,1.1797
14/08/2020,1.1842
07/08/2020,1.1787
31/07/2020,1.1778
24/07/2020,1.1656
17/07/2020,1.1428
10/07/2020,1.13
03/07/2020,1.1248
26/06/2020,1.1219
19/06/2020,1.1178
12/06/2020,1.1256
05/06/2020,1.1292
29/05/2020,1.1101
22/05/2020,1.0901
15/05/2020,1.082
08/05/2020,1.0839
01/05/2020,1.0981
24/04/2020,1.0823
17/04/2020,1.0875
10/04/2020,1.0937
