Security,TSLA US Equity,
Start Date,10/04/2020 00:00,
End Date,04/04/2025 00:00,
Period,W,
Currency,USD,
,,
Date,PX_LAST,PX_BID
21/10/2022,214.44,214.45
14/10/2022,204.99,205.03
07/10/2022,223.07,222.91
30/09/2022,265.25,265.28
23/09/2022,275.33,275.33
16/09/2022,303.35,303.22
09/09/2022,299.68,299.67
02/09/2022,270.21,270.24
26/08/2022,288.09,288.07
19/08/2022,296.6667,296.67
12/08/2022,300.03,299.9967
05/08/2022,288.17,288.0567
29/07/2022,297.15,297.15
22/07/2022,272.2433,272.2633
15/07/2022,240.0667,240.0267
08/07/2022,250.7633,250.6567
01/07/2022,227.2633,227.1267
24/06/2022,245.7067,245.63
17/06/2022,216.76,216.6667
10/06/2022,232.23,232.2667
03/06/2022,234.5167,234.4167
27/05/2022,253.21,253.22
20/05/2022,221.3,221.2967
13/05/2022,256.53,256.53
06/05/2022,288.55,288.38
29/04/2022,290.2533,290.06
22/04/2022,335.0167,334.98
15/04/2022,328.3333,328.32
08/04/2022,341.83,341.78
01/04/2022,361.53,361.4667
25/03/2022,336.88,336.7367
18/03/2022,301.7967,301.7933
11/03/2022,265.1167,265.0433
04/03/2022,279.43,279.41
25/02/2022,269.9567,269.8067
18/02/2022,285.66,285.5633
11/02/2022,286.6667,286.4433
04/02/2022,307.7733,307.62
28/01/2022,282.1167,282
21/01/2022,314.6333,314.2733
14/01/2022,349.87,349.85
07/01/2022,342.32,342.29
31/12/2021,352.26,352.2967
24/12/2021,355.6667,355.82
17/12/2021,310.8567,310.3833
10/12/2021,339.01,338.8233
03/12/2021,338.3233,338.2933
26/11/2021,360.64,360.5933
19/11/2021,379.02,378.8967
12/11/2021,344.4733,344.3367
05/11/2021,407.3633,407.1367
29/10/2021,371.3333,371.3933
22/10/2021,303.2267,303.1667
15/10/2021,281.01,281.01
08/10/2021,261.83,261.8033
01/10/2021,258.4067,258.33
24/09/2021,258.13,258.1367
17/09/2021,253.1633,253.2767
10/09/2021,245.4233,245.3733
03/09/2021,244.5233,244.5367
27/08/2021,237.3067,237.2167
20/08/2021,226.7533,226.6967
13/08/2021,239.0567,239.0567
06/08/2021,233.0333,232.9633
30/07/2021,229.0667,229.1867
23/07/2021,214.46,214.3867
16/07/2021,214.74,214.67
09/07/2021,218.9833,218.91
02/07/2021,226.3,226.25
25/06/2021,223.9567,223.8667
18/06/2021,207.77,207.77
11/06/2021,203.2967,203.2967
04/06/2021,199.6833,199.7433
28/05/2021,208.4067,208.53
21/05/2021,193.6267,193.6267
14/05/2021,196.58,196.51
07/05/2021,224.1233,224.0467
30/04/2021,236.48,236.5667
23/04/2021,243.1333,243.0433
16/04/2021,246.5933,246.5067
09/04/2021,225.6733,225.6667
02/04/2021,220.5833,220.3367
26/03/2021,206.2367,206.1267
19/03/2021,218.29,217.9933
12/03/2021,231.2433,231.2733
05/03/2021,199.3167,198.74
26/02/2021,225.1667,223.7067
19/02/2021,260.4333,260.46
12/02/2021,272.04,272
05/02/2021,284.0767,284.0767
29/01/2021,264.51,264.4067
22/01/2021,282.2133,282.2033
15/01/2021,275.3867,275.3533
08/01/2021,293.34,293.3467
01/01/2021,235.2233,235.07
25/12/2020,220.59,220.54
18/12/2020,231.6667,221.6633
11/12/2020,203.33,203.3
04/12/2020,199.68,199.65
27/11/2020,195.2533,195.1533
20/11/2020,163.2033,163.0133
13/11/2020,136.1667,136.19
06/11/2020,143.3167,143.1467
30/10/2020,129.3467,129.3467
23/10/2020,140.21,140.2
16/10/2020,146.5567,146.5567
09/10/2020,144.6667,144.6367
02/10/2020,138.3633,138.34
25/09/2020,135.78,135.7267
18/09/2020,147.3833,147.0067
11/09/2020,124.24,124.1367
04/09/2020,139.44,139.2233
28/08/2020,147.56,147.4873
21/08/2020,136.6653,136.6
14/08/2020,110.0473,110.054
07/08/2020,96.8473,96.8467
31/07/2020,95.384,95.4593
24/07/2020,94.4667,94.3693
17/07/2020,100.056,100.0007
10/07/2020,102.9767,102.9973
03/07/2020,80.5773,80.5773
26/06/2020,63.9827,64.0027
19/06/2020,66.7267,66.7047
12/06/2020,62.352,62.338
05/06/2020,59.044,59.0167
29/05/2020,55.6667,55.604
22/05/2020,54.4587,54.4267
15/05/2020,53.278,53.2667
08/05/2020,54.628,54.6007
01/05/2020,46.7547,46.754
24/04/2020,48.3433,48.3153
17/04/2020,50.2593,50.2127
10/04/2020,38.2,38.1773
